miRNA	value
hsa-miR-6779-3p	12.28462
hsa-miR-3667-5p	17.93435
hsa-miR-6834-3p	4.41941
hsa-miR-5090	13.61181
hsa-miR-4731-3p	7.69911
hsa-miR-1182	8.03077
hsa-miR-4284	1.99102
hsa-miR-3679-3p	3.08523
hsa-miR-4717-3p	17.36391
hsa-miR-6807-5p	22.2283
hsa-miR-15a-5p	34.5331
hsa-miR-6870-3p	2.37328
hsa-miR-6765-5p	25.4017
hsa-miR-4310	2.88683
hsa-miR-3689a-3p	13.21643
hsa-miR-8089	14.89631
hsa-miR-3675-3p	2.92709
hsa-miR-4472	27.56485
hsa-miR-498	14.16533
hsa-miR-4666b	3.11965
hsa-miR-6766-3p	12.6356
hsa-miR-6507-3p	2.94839
hsa-miR-6889-5p	15.99886
hsa-miR-625-3p	3.49092
hsa-miR-3131	14.73813
hsa-miR-3202	7.79089
hsa-miR-3074-3p	0.841298
hsa-miR-4486	22.80232
hsa-miR-3614-5p	5.03437
hsa-miR-4734	18.22303
hsa-miR-4750-5p	10.6771
hsa-miR-5093	13.30737
hsa-miR-4716-5p	10.8781
hsa-miR-550a-5p	3.81471
hsa-miR-6848-3p	9.51475
hsa-miR-4274	13.20167
hsa-miR-6889-3p	5.30404
hsa-miR-634	1.6612111
hsa-miR-3613-3p	2.012497
hsa-miR-4497	16.95215
hsa-miR-4484	18.90867
hsa-miR-6798-3p	5.48859
hsa-miR-4535	20.49672
hsa-miR-6851-3p	2.858177
hsa-miR-4312	4.53254
hsa-miR-3180-5p	3.47017
hsa-miR-23c	3.24401
hsa-miR-4749-3p	9.42061
hsa-miR-1226-5p	21.74051
hsa-miR-7113-5p	33.9451
hsa-miR-423-5p	32.4854
hsa-miR-337-3p	0.898859
hsa-miR-6132	4.64254
hsa-miR-2116-3p	1.2775
hsa-miR-4758-5p	15.49581
hsa-miR-1261	20.23461
hsa-miR-4690-5p	23.3049
hsa-miR-484	9.89811
hsa-miR-1181	8.45203
hsa-miR-1227-5p	84.8194
hsa-miR-623	17.01485
hsa-miR-7846-3p	5.50371
hsa-miR-6800-3p	7.11371
hsa-miR-6880-3p	9.16132
hsa-miR-24-3p	6.64752
hsa-miR-4664-3p	3.87803
hsa-miR-4314	10.07381
hsa-miR-6812-3p	2.24695
hsa-miR-7152-3p	20.75002
hsa-miR-3650	10.5251
hsa-miR-602	4.78977
hsa-miR-106b-5p	99.5029
hsa-miR-29b-1-5p	3.23479
hsa-let-7d-3p	5.27861
hsa-miR-122-5p	12.60733
hsa-miR-335-3p	2.720423
hsa-miR-135a-5p	1.203543
hsa-miR-4758-3p	2.95056
hsa-miR-5092	15.41266
hsa-miR-933	1.50801
hsa-miR-619-5p	4.9329
hsa-miR-345-3p	13.75904
hsa-miR-144-3p	195.8274
hsa-miR-645	13.17753
hsa-miR-211-5p	1.989435
hsa-let-7a-5p	16.24242
hsa-miR-519e-3p	0.693086
hsa-miR-129-2-3p	1.535361
hsa-miR-4710	6.89699
hsa-miR-30c-1-3p	6.38177
hsa-miR-5571-5p	3.47861
hsa-miR-4695-3p	2.6022
hsa-miR-6785-3p	2.48194
hsa-miR-563	2.700842
hsa-miR-6756-3p	7.01106
hsa-miR-142-3p	2.76079
hsa-miR-520e	1.31045
hsa-miR-4728-3p	7.03525
hsa-miR-6823-3p	6.67955
hsa-miR-576-5p	1.049073
hsa-miR-6746-5p	17.85064
hsa-miR-520d-3p	3.14597
hsa-miR-6790-5p	8.12872
hsa-miR-19a-3p	24.19736
hsa-miR-485-3p	10.62302
hsa-miR-196b-5p	4.3615
hsa-miR-7109-5p	2.31402
hsa-miR-885-5p	5.78103
hsa-miR-4538	13.20542
hsa-miR-769-3p	4.76675
hsa-miR-181d-5p	6.07585
hsa-miR-6731-3p	2.54996
hsa-miR-1299	12.01728
hsa-miR-27a-3p	2.60871
hsa-miR-376b-5p	0.743869
hsa-miR-3916	11.73809
hsa-miR-4447	9.05175
hsa-miR-8060	6.74909
hsa-miR-6878-3p	1.215378
hsa-miR-6778-5p	2.86564
hsa-miR-520a-3p	1.442957
hsa-miR-6734-5p	13.12602
hsa-miR-615-3p	1.24752
hsa-miR-515-3p	0.598567
hsa-miR-1252-3p	1.083289
hsa-miR-6743-3p	4.94112
hsa-miR-4762-3p	8.22732
hsa-miR-610	14.77334
hsa-miR-548ai	2.60959
hsa-miR-6751-3p	14.62416
hsa-miR-505-3p	0.50914
hsa-miR-16-2-3p	1.42914
hsa-miR-6716-3p	67.7221
hsa-miR-6820-5p	8.58341
hsa-miR-6894-3p	2.56176
hsa-miR-302c-3p	0.6451349
hsa-let-7g-5p	17.75302
hsa-miR-150-5p	0.61387
hsa-miR-129-1-3p	1.051213
hsa-miR-195-3p	16.99939
hsa-miR-3609	12.22369
hsa-miR-5583-5p	0.3440673
hsa-miR-6738-5p	13.60754
hsa-miR-6730-3p	2.784625
hsa-miR-449b-5p	9.02
hsa-miR-3190-5p	2.47564
hsa-miR-520g-3p	0.607008
hsa-miR-7974	2.13552
hsa-miR-376a-2-5p	1.012531
hsa-miR-6757-3p	1.73292
hsa-miR-6741-5p	8.76079
hsa-miR-4707-3p	2.52183
hsa-miR-4502	7.12674
hsa-miR-196a-5p	2.18672
hsa-miR-548am-5p	3.66473
hsa-miR-130b-3p	16.62151
hsa-miR-3151-3p	3.19124
hsa-miR-4753-3p	0.801579
hsa-miR-4496	13.14557
hsa-miR-664a-3p	2.32245
hsa-miR-6809-5p	3.51334
hsa-miR-6754-5p	10.0109
hsa-let-7f-5p	9.02859
hsa-miR-6792-3p	2.7553
hsa-miR-548d-5p	3.004322
hsa-miR-3121-5p	0.6628
hsa-miR-135b-5p	0.790622
hsa-miR-30c-2-3p	1.194719
hsa-miR-3940-3p	1.914507
hsa-miR-29c-5p	1.260126
hsa-miR-125a-3p	7.72934
hsa-miR-2053	1.034494
hsa-miR-6780b-3p	0.2538265
hsa-miR-7114-3p	2.55824
hsa-miR-660-3p	11.31765
hsa-miR-6885-3p	2.176319
hsa-miR-548az-5p	3.2826
hsa-miR-6083	10.51697
hsa-miR-204-5p	0.856684
hsa-miR-1470	3.52097
hsa-miR-338-3p	0.4163803
hsa-miR-4713-3p	25.2941
hsa-miR-3923	2.982655
hsa-miR-369-3p	0.469651
