miRNA	value
hsa-miR-135a-5p	1.025029
hsa-miR-4758-3p	0.946756
hsa-miR-5092	0.5704399
hsa-miR-933	1.1375728
hsa-miR-619-5p	2.40329
hsa-miR-345-3p	2.1363
hsa-miR-144-3p	16.109
hsa-miR-645	0.7268593
hsa-miR-211-5p	0.664961
hsa-let-7a-5p	4.66031
hsa-miR-519e-3p	0.547846
hsa-miR-129-2-3p	0.751006
hsa-miR-4710	1.442407
hsa-miR-30c-1-3p	1.49167
hsa-miR-5571-5p	1.58158
hsa-miR-4695-3p	0.39922
hsa-miR-6785-3p	0.620418
hsa-miR-563	0.827125
hsa-miR-6756-3p	1.140811
hsa-miR-142-3p	1.90591
hsa-miR-520e	1.405589
hsa-miR-4728-3p	1.039681
hsa-miR-6823-3p	0.651204
hsa-miR-576-5p	1.015765
hsa-miR-6746-5p	1.33436
hsa-miR-520d-3p	1.20309
hsa-miR-6790-5p	1.489134
hsa-miR-19a-3p	9.24966
hsa-miR-485-3p	0.895018
hsa-miR-196b-5p	1.864595
hsa-miR-7109-5p	0.982033
hsa-miR-885-5p	0.41065
hsa-miR-4538	0.817087
hsa-miR-769-3p	1.01556
hsa-miR-181d-5p	1.383584
hsa-miR-6731-3p	1.068241
hsa-miR-1299	0.658394
hsa-miR-27a-3p	6.3364
hsa-miR-376b-5p	0.863142
hsa-miR-3916	0.4456986
hsa-miR-4447	1.078304
hsa-miR-8060	1.892657
hsa-miR-6878-3p	0.3378779
hsa-miR-6778-5p	1.659097
hsa-miR-520a-3p	0.362657
hsa-miR-6734-5p	1.059001
hsa-miR-615-3p	0.6040735
hsa-miR-515-3p	0.837496
hsa-miR-1252-3p	0.931804
hsa-miR-6743-3p	0.534685
hsa-miR-4762-3p	1.263382
hsa-miR-610	1.999343
hsa-miR-548ai	1.242746
hsa-miR-6751-3p	1.440542
hsa-miR-505-3p	0.2565347
hsa-miR-16-2-3p	0.8363492
hsa-miR-6716-3p	5.57647
hsa-miR-6820-5p	0.974179
hsa-miR-6894-3p	0.3691851
hsa-miR-302c-3p	0.4948559
hsa-let-7g-5p	5.59548
hsa-miR-150-5p	2.4121
hsa-miR-129-1-3p	0.7943876
hsa-miR-195-3p	2.855
hsa-miR-3609	0.811098
hsa-miR-5583-5p	0.4805879
hsa-miR-6738-5p	1.64838
hsa-miR-6730-3p	0.198284
hsa-miR-449b-5p	0.768029
hsa-miR-3190-5p	0.831942
hsa-miR-520g-3p	0.64175
hsa-miR-7974	0.924512
hsa-miR-376a-2-5p	0.876835
hsa-miR-6757-3p	0.595316
hsa-miR-6741-5p	0.8965779
hsa-miR-4707-3p	1.265204
hsa-miR-4502	2.39819
hsa-miR-196a-5p	2.18518
hsa-miR-548am-5p	1.305055
hsa-miR-130b-3p	3.16009
hsa-miR-3151-3p	0.6050872
hsa-miR-4753-3p	0.295624
hsa-miR-4496	2.323452
hsa-miR-664a-3p	0.678048
hsa-miR-6809-5p	2.404468
hsa-miR-6754-5p	0.8229608
hsa-let-7f-5p	3.72181
hsa-miR-6792-3p	0.728593
hsa-miR-548d-5p	1.0710361
hsa-miR-3121-5p	0.452125
hsa-miR-135b-5p	0.920175
hsa-miR-30c-2-3p	0.7639294
hsa-miR-3940-3p	0.13752768
hsa-miR-29c-5p	0.59496
hsa-miR-125a-3p	1.467621
hsa-miR-2053	0.713844
hsa-miR-6780b-3p	0.318173
hsa-miR-7114-3p	0.041765
hsa-miR-660-3p	2.15694
hsa-miR-6885-3p	0.118773
hsa-miR-548az-5p	0.6279184
hsa-miR-6083	2.19382
hsa-miR-204-5p	0.791954
hsa-miR-1470	0.892103
hsa-miR-338-3p	0.891421
hsa-miR-4713-3p	1.51962
hsa-miR-3923	2.018397
hsa-miR-369-3p	0.944617
hsa-miR-3613-5p	0.666028
hsa-miR-5584-3p	0.4253438
hsa-miR-520f-3p	0.451922
hsa-miR-4441	1.39972
hsa-miR-4417	1.089726
hsa-miR-6780a-3p	0.216951
hsa-miR-6866-3p	0.332896
