miRNA	value
hsa-miR-548b-5p	0.6419853
hsa-miR-4796-5p	0.654463
hsa-miR-3147	1.001399
hsa-miR-4493	0.46310523
hsa-miR-875-5p	0.976817
hsa-miR-6877-3p	0.957219
hsa-miR-6890-3p	0.909129
hsa-miR-4694-5p	0.317703
hsa-miR-297	2.060874
hsa-miR-6774-5p	1.470081
hsa-miR-764	0.46455
hsa-miR-6776-3p	0.785737
hsa-miR-5583-3p	1.187376
hsa-miR-548ad-5p	0.69323
hsa-miR-6074	0.4133301
hsa-miR-6864-3p	0.1471447
hsa-miR-6511a-3p	0.407656
hsa-miR-548g-3p	0.917764
hsa-miR-3606-5p	0.699105
hsa-miR-1224-3p	0.66545061
hsa-miR-133a-3p	0.832281
hsa-miR-15b-3p	0.916664
hsa-miR-892a	0.18792662
hsa-miR-6845-5p	0.491382
hsa-miR-3198	0.482002
hsa-miR-1277-3p	0.654421
hsa-miR-6881-5p	1.126165
hsa-miR-103a-3p	2.55931
hsa-miR-1-5p	0.893497
hsa-miR-133b	0.409201
hsa-miR-548a-5p	0.6737249
hsa-miR-1260a	0.3743133
hsa-miR-3692-5p	0.32285808
hsa-miR-132-5p	0.85382
hsa-miR-513c-5p	0.3673621
hsa-miR-548c-3p	0.772676
hsa-miR-145-3p	0.2490214
hsa-miR-4323	0.720448
hsa-miR-369-5p	0.396824
hsa-miR-6769a-5p	0.829627
hsa-miR-4692	0.71438
hsa-miR-6844	0.892244
hsa-miR-494-5p	0.410693
hsa-miR-6772-5p	0.276488
hsa-miR-380-3p	0.54405
hsa-miR-1294	0.688803
hsa-miR-338-5p	0.6120068
hsa-miR-299-5p	0.693907
hsa-miR-374b-3p	0.5581308
hsa-miR-6509-3p	0.311651
hsa-miR-4782-3p	0.488486
hsa-miR-6892-3p	0.887153
hsa-miR-876-5p	0.4704106
hsa-miR-29a-5p	1.011223
hsa-miR-449c-3p	0.3160782
hsa-miR-6796-3p	1.186452
hsa-miR-154-5p	0.773697
hsa-miR-6839-3p	0.587815
hsa-miR-548aq-5p	0.894158
hsa-miR-20b-5p	1.845855
hsa-miR-525-5p	0.18238528
hsa-miR-6769b-3p	0.6943243
hsa-miR-31-5p	0.1824906
hsa-miR-4793-5p	1.080002
hsa-miR-4714-5p	0.726302
hsa-miR-450b-3p	0.908343264
hsa-miR-2277-3p	-0.2077704
hsa-miR-202-5p	0.559533
hsa-miR-5701	0.5315398
hsa-miR-3714	0.703442
hsa-miR-3920	0.735991
hsa-miR-208b-5p	1.99118
hsa-miR-6832-3p	0.4513145
hsa-miR-219a-2-3p	-0.158058
hsa-miR-519b-3p	0.66826
hsa-miR-92a-2-5p	0.887273
hsa-miR-6887-3p	0.1833987
hsa-miR-4528	0.92904
hsa-miR-96-5p	1.080314
hsa-miR-98-5p	0.62048
hsa-miR-6502-3p	0.408372
hsa-miR-605-5p	0.380307
hsa-miR-1267	1.089101
hsa-miR-656-3p	0.700662
hsa-miR-34b-5p	0.978539
hsa-miR-449b-3p	-0.1970106
hsa-miR-190a-3p	0.573199
hsa-miR-6788-3p	0.94713
hsa-miR-519d-3p	0.612893
hsa-miR-3922-3p	0.5057954
hsa-miR-6857-3p	0.925053
hsa-miR-26a-1-3p	0.947409
hsa-miR-520c-3p	0.433539
hsa-miR-3927-5p	0.4656842
hsa-miR-184	0.315325
hsa-miR-1282	0.439865
hsa-miR-10b-5p	0.288663
hsa-miR-26b-5p	1.600933
hsa-miR-6501-5p	0.1261144
hsa-miR-126-5p	0.686534
hsa-let-7a-3p	0.4143655
hsa-miR-450a-5p	0.296975
hsa-miR-4716-3p	1.89911
hsa-miR-545-3p	0.76355244
hsa-miR-6764-3p	0.0974841
hsa-miR-6887-5p	0.803983
hsa-miR-521	0.5506835
hsa-miR-4640-3p	0.892926
hsa-miR-4700-3p	0.446585
hsa-miR-4720-5p	0.740291
hsa-miR-4295	0.1793767
hsa-miR-1976	0.099619
hsa-miR-6741-3p	-0.1381713
hsa-miR-664b-3p	0.3213986
hsa-miR-381-5p	0.442574
hsa-miR-3606-3p	0.994691
hsa-miR-6825-3p	-0.488535
hsa-miR-93-5p	1.64823
hsa-miR-144-5p	0.27912349
hsa-miR-4642	0.1776361
hsa-miR-450b-5p	0.6542176
hsa-miR-548ay-5p	0.814341
hsa-miR-544a	0.4281741
hsa-miR-3134	0.44374
hsa-miR-4707-5p	1.22607
hsa-miR-518d-3p	-0.140774
hsa-miR-1537-5p	0.522508
hsa-miR-548ae-3p	0.3470368
hsa-miR-6884-5p	0.541342
hsa-miR-3653-5p	0.133603
hsa-miR-1284	-0.1206262
hsa-miR-6826-3p	-0.0079231
hsa-miR-5690	0.592457
hsa-miR-181a-3p	0.442673
hsa-miR-3614-3p	0.503348
hsa-miR-551b-3p	0.2823856
hsa-miR-30c-5p	0.023423
hsa-miR-4286	1.66429
hsa-miR-199a-5p	0.494976
hsa-miR-6851-5p	0.778316
hsa-miR-30b-5p	0.3560457
hsa-let-7e-3p	0.0176297
hsa-miR-548ab	0.816572
hsa-miR-609	0.4994402
hsa-miR-891b	0.325491
hsa-miR-1256	0.2813355
hsa-miR-106a-3p	-0.1053416
hsa-miR-7843-3p	-0.1314785
hsa-miR-149-3p	0.58365
hsa-miR-371a-5p	1.0003943
hsa-miR-520h	0.3718609
hsa-miR-1229-3p	0.5330276
hsa-miR-4668-3p	0.5270355
hsa-miR-6739-3p	0.0670048
hsa-miR-125a-5p	0.379257
hsa-miR-4259	0.3174667
hsa-miR-6876-3p	0.1561822
hsa-miR-1323	0.68937
hsa-miR-4645-3p	0.3098393
hsa-miR-5087	0.2554418
hsa-miR-3682-3p	0.835351
hsa-miR-518a-3p	0.363136
hsa-miR-3915	0.402344
hsa-miR-185-3p	0.8145953
hsa-miR-302b-3p	0.582537
hsa-miR-6841-3p	0.0069403
hsa-miR-1303	0.2143231
hsa-miR-522-3p	0.655744
hsa-miR-211-3p	0.914035
hsa-miR-3605-3p	0.1099111
hsa-miR-622	0.4188121
hsa-miR-548x-3p	-0.0794595
hsa-miR-4656	0.5344537
hsa-miR-361-3p	0.796028
hsa-miR-1250-3p	0.1182184
hsa-miR-6073	0.907861
hsa-miR-190b	0.970344
hsa-miR-488-3p	0.563201
hsa-miR-544b	0.364035
hsa-miR-526b-5p	0.800836
hsa-miR-3180-3p	1.55151
hsa-miR-4639-3p	0.0269054
hsa-miR-92b-3p	1.062037
hsa-miR-383-5p	0.7979459
hsa-miR-6511b-3p	0.473408
hsa-miR-1909-5p	-0.0330126
hsa-miR-4699-3p	0.625699
hsa-miR-6867-3p	0.3111406
hsa-miR-548b-3p	0.5428995
hsa-miR-374c-3p	0.727908
hsa-miR-373-3p	0.841725
hsa-miR-582-5p	0.767256
hsa-miR-4760-3p	0.4748885
hsa-miR-7108-3p	0.975906
hsa-miR-4803	0.294424
hsa-miR-3144-3p	0.1986376
hsa-miR-5698	0.4906607
hsa-miR-3617-5p	1.08837
hsa-miR-190a-5p	0.688624
hsa-miR-4678	0.066384
hsa-miR-642b-5p	0.1181463
hsa-miR-5704	0.0140118
hsa-miR-4509	0.456099
hsa-miR-548ba	0.528657
hsa-miR-1179	0.492279
hsa-miR-4324	-0.1122805
hsa-miR-654-3p	0.3059376
