miRNA	value
hsa-miR-3675-3p	1.592783
hsa-miR-4472	1.536688
hsa-miR-498	0.422877
hsa-miR-4666b	1.641026
hsa-miR-6766-3p	2.16279
hsa-miR-6507-3p	1.458471
hsa-miR-6889-5p	0.028135
hsa-miR-625-3p	1.1824587
hsa-miR-3131	-0.29797176
hsa-miR-3202	1.145623
hsa-miR-3074-3p	-0.10495451
hsa-miR-4486	0.939448
hsa-miR-3614-5p	2.11613
hsa-miR-4734	1.46434
hsa-miR-4750-5p	0.5806037
hsa-miR-5093	-0.4035718
hsa-miR-4716-5p	1.666339
hsa-miR-550a-5p	1.783492
hsa-miR-6848-3p	2.32053
hsa-miR-4274	1.803016
hsa-miR-6889-3p	2.91113
hsa-miR-634	1.734505
hsa-miR-3613-3p	1.501212
hsa-miR-4497	-0.22792962
hsa-miR-4484	1.90721
hsa-miR-6798-3p	1.65494
hsa-miR-4535	0.570553
hsa-miR-6851-3p	1.79349
hsa-miR-4312	1.149869
hsa-miR-3180-5p	2.03136
hsa-miR-23c	1.998881
hsa-miR-4749-3p	2.64852
hsa-miR-1226-5p	0.56434
hsa-miR-7113-5p	1.279486
hsa-miR-423-5p	1.667805
hsa-miR-337-3p	1.090986
hsa-miR-6132	-0.486537
hsa-miR-2116-3p	1.830796
hsa-miR-4758-5p	0.4199075
hsa-miR-1261	0.3231661
hsa-miR-4690-5p	0.2985346
hsa-miR-484	1.290489
hsa-miR-1181	0.1887621
hsa-miR-1227-5p	5.48623
hsa-miR-623	0.9097284
hsa-miR-7846-3p	-0.1364655
hsa-miR-6800-3p	3.58849
hsa-miR-6880-3p	2.214344
hsa-miR-24-3p	2.08252
hsa-miR-4664-3p	2.071514
hsa-miR-4314	0.406503
hsa-miR-6812-3p	1.667798
hsa-miR-7152-3p	0.509981
hsa-miR-3650	1.470531
hsa-miR-602	2.120462
hsa-miR-106b-5p	2.2165
hsa-miR-29b-1-5p	1.159823
hsa-let-7d-3p	0.719961
hsa-miR-122-5p	1.100842
hsa-miR-335-3p	1.0219137
hsa-miR-135a-5p	1.249421
hsa-miR-4758-3p	1.367893
hsa-miR-5092	-0.0763055
hsa-miR-933	1.790466
hsa-miR-619-5p	0.785621
hsa-miR-345-3p	-0.0312783
hsa-miR-144-3p	4.83883
hsa-miR-645	0.2536898
hsa-miR-211-5p	1.085727
hsa-let-7a-5p	1.44485
hsa-miR-519e-3p	0.814828
hsa-miR-129-2-3p	1.420074
hsa-miR-4710	0.5502996
hsa-miR-30c-1-3p	0.5930012
hsa-miR-5571-5p	1.940196
hsa-miR-4695-3p	0.117893
hsa-miR-6785-3p	2.088378
hsa-miR-563	1.490187
hsa-miR-6756-3p	1.207199
hsa-miR-142-3p	1.74887
hsa-miR-520e	1.519097
hsa-miR-4728-3p	1.205987
