miRNA	value
hsa-miR-6766-3p	5.97958
hsa-miR-6507-3p	1.2469705
hsa-miR-6889-5p	10.9405
hsa-miR-625-3p	1.087333
hsa-miR-3131	4.88086
hsa-miR-3202	6.40293
hsa-miR-3074-3p	-0.8579852
hsa-miR-4486	6.59299
hsa-miR-3614-5p	2.47541
hsa-miR-4734	6.26913
hsa-miR-4750-5p	0.1077325
hsa-miR-5093	2.321462
hsa-miR-4716-5p	1.935763
hsa-miR-550a-5p	2.465196
hsa-miR-6848-3p	5.1789
hsa-miR-4274	6.02115
hsa-miR-6889-3p	5.2778
hsa-miR-634	1.281283
hsa-miR-3613-3p	4.08613
hsa-miR-4497	9.81892
hsa-miR-4484	4.68476
hsa-miR-6798-3p	2.987417
hsa-miR-4535	6.14688
hsa-miR-6851-3p	1.716842
hsa-miR-4312	0.500518
hsa-miR-3180-5p	1.3394952
hsa-miR-23c	1.79092
hsa-miR-4749-3p	6.4337
hsa-miR-1226-5p	11.32097
hsa-miR-7113-5p	-0.072306
hsa-miR-423-5p	19.46038
hsa-miR-337-3p	0.913641
hsa-miR-6132	5.65115
hsa-miR-2116-3p	2.570821
hsa-miR-4758-5p	5.20354
hsa-miR-1261	4.86305
hsa-miR-4690-5p	5.79775
hsa-miR-484	4.292
hsa-miR-1181	4.70993
hsa-miR-1227-5p	29.9021
hsa-miR-623	3.805173
hsa-miR-7846-3p	5.49887
hsa-miR-6800-3p	3.48749
hsa-miR-6880-3p	3.05737
hsa-miR-24-3p	15.08377
hsa-miR-4664-3p	1.841954
hsa-miR-4314	5.93644
hsa-miR-6812-3p	4.31965
hsa-miR-7152-3p	11.53552
hsa-miR-3650	-0.5116217
hsa-miR-602	2.860789
hsa-miR-106b-5p	149.3421
hsa-miR-29b-1-5p	1.266638
hsa-let-7d-3p	3.2633
hsa-miR-122-5p	0.5480061
hsa-miR-335-3p	0.62296623
hsa-miR-135a-5p	-0.1409332
hsa-miR-4758-3p	1.245259
hsa-miR-5092	2.021711
hsa-miR-933	0.989714
hsa-miR-619-5p	3.80927
hsa-miR-345-3p	6.39429
hsa-miR-144-3p	262.114
hsa-miR-645	2.330558
hsa-miR-211-5p	-0.662116
hsa-let-7a-5p	59.1033
hsa-miR-519e-3p	0.1791381
hsa-miR-129-2-3p	0.3571925
hsa-miR-4710	0.663115
hsa-miR-30c-1-3p	4.65533
hsa-miR-5571-5p	1.291644
hsa-miR-4695-3p	0.198477
hsa-miR-6785-3p	0.733802
hsa-miR-563	0.6791781
hsa-miR-6756-3p	3.783396
hsa-miR-142-3p	16.41826
hsa-miR-520e	3.053798
hsa-miR-4728-3p	1.714086
hsa-miR-6823-3p	-0.121701
hsa-miR-576-5p	1.495635
hsa-miR-6746-5p	4.98982
hsa-miR-520d-3p	0.12353496
hsa-miR-6790-5p	4.37661
hsa-miR-19a-3p	65.2082
hsa-miR-485-3p	3.15104
hsa-miR-196b-5p	3.291938
hsa-miR-7109-5p	2.426909
hsa-miR-885-5p	-0.23098369
hsa-miR-4538	1.242274
hsa-miR-769-3p	3.62459
hsa-miR-181d-5p	0.481696
hsa-miR-6731-3p	4.15703
hsa-miR-1299	1.883292
hsa-miR-27a-3p	9.85815
hsa-miR-376b-5p	0.7109423
hsa-miR-3916	1.807807
hsa-miR-4447	2.742486
hsa-miR-8060	5.84643
hsa-miR-6878-3p	0.439133
hsa-miR-6778-5p	5.12974
hsa-miR-520a-3p	1.414129
hsa-miR-6734-5p	10.01796
hsa-miR-615-3p	2.09668
hsa-miR-515-3p	-0.1275556
hsa-miR-1252-3p	2.087527
hsa-miR-6743-3p	0.3167388
hsa-miR-4762-3p	-0.205426
hsa-miR-610	1.1252882
hsa-miR-548ai	1.240032
hsa-miR-6751-3p	0.558445
hsa-miR-505-3p	0.660099
hsa-miR-16-2-3p	0.7482085
hsa-miR-6716-3p	12.51333
hsa-miR-6820-5p	2.68945
hsa-miR-6894-3p	-0.156623
hsa-miR-302c-3p	-1.0645029
hsa-let-7g-5p	57.86128
hsa-miR-150-5p	2.034407
hsa-miR-129-1-3p	2.244837
hsa-miR-195-3p	1.6549434
hsa-miR-3609	1.84652
hsa-miR-5583-5p	-0.3373581
hsa-miR-6738-5p	8.25207
hsa-miR-6730-3p	0.792
hsa-miR-449b-5p	2.74742
hsa-miR-3190-5p	1.185872
hsa-miR-520g-3p	-0.466741
hsa-miR-7974	2.86053
hsa-miR-376a-2-5p	-0.764473
hsa-miR-6757-3p	1.1791994
hsa-miR-6741-5p	4.14632
hsa-miR-4707-3p	3.86562
hsa-miR-4502	-0.3300115
hsa-miR-196a-5p	2.353485
hsa-miR-548am-5p	1.6055008
hsa-miR-130b-3p	13.4585
hsa-miR-3151-3p	-0.041607
hsa-miR-4753-3p	-1.046434
hsa-miR-4496	3.42243
hsa-miR-664a-3p	1.882477493
hsa-miR-6809-5p	3.98407
hsa-miR-6754-5p	1.540684
hsa-let-7f-5p	35.9556
hsa-miR-6792-3p	-0.0078879
hsa-miR-548d-5p	0.607417
hsa-miR-3121-5p	0.299541
hsa-miR-135b-5p	-0.333066
hsa-miR-30c-2-3p	1.380617
hsa-miR-3940-3p	0.912856
hsa-miR-29c-5p	1.78384
hsa-miR-125a-3p	4.28166
hsa-miR-2053	0.3140936
hsa-miR-6780b-3p	-0.119035
hsa-miR-7114-3p	0.568506
hsa-miR-660-3p	-1.166206
